20010886,3,1,5,1,4,0,3,1,2,1,2,1,5,4
20033426,4,4,5,2,3,3,2,2,2,1,1,1,5,0
20033058,5,3,1,4,1,4,3,3,3,5,2,1,2,2
20024370,5,4,1,2,2,3,2,2,4,1,3,3,2,3
20176505,4,3,1,5,0,3,0,3,2,3,2,2,3,2
20076808,0,2,2,0,3,5,2,1,0,0,2,0,1,4
20048586,0,5,3,4,2,4,5,3,5,2,3,0,4,2
20040280,2,1,3,5,4,5,4,3,3,1,3,5,3,5
20158927,3,4,5,3,0,5,4,5,5,2,4,3,2,5
20030019,0,0,4,5,4,3,0,5,2,1,2,3,1,5
20117488,2,2,1,2,1,4,2,4,0,4,5,2,3,3
20178365,3,4,4,5,5,4,5,5,0,1,2,1,5,1
20153793,2,2,3,3,0,3,2,4,1,1,5,2,2,4
20044818,0,0,3,3,5,0,2,3,0,5,2,5,4,5
20135590,5,5,2,4,3,2,0,2,1,3,3,4,2,5
20087828,5,3,4,2,4,4,5,4,3,1,1,0,4,5
20158736,4,0,0,5,2,4,0,2,2,3,0,2,0,0
20111899,3,4,2,5,3,5,3,4,1,2,4,3,1,5
20052996,3,3,1,0,2,1,2,2,2,0,4,2,0,0
20189107,3,0,1,0,5,2,4,4,3,3,2,2,0,5
